main_line_code,main_line_tw,sub_line_tw,station_legend,station_no,station_id,station_name_tw,station_alias_tw,station_address_tw,station_map_url_tw,station_longitude,station_latitude
BR,文湖線,內湖線,BR,18,BR18,文德,碧湖公園,114053臺北市內湖區文德路214號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.5849995&Latitude=25.078455,121.5849995,25.078455
BR,文湖線,內湖線,BR,19,BR19,內湖,,114049臺北市內湖區成功路4段186號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.594363&Latitude=25.083675,121.594363,25.083675
BR,文湖線,內湖線,BR,20,BR20,大湖公園,,114041臺北市內湖區成功路5段11號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.602214&Latitude=25.083805,121.602214,25.083805
BR,文湖線,內湖線,BR,21,BR21,葫洲,,114046臺北市內湖區康寧路3段16號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.6071455&Latitude=25.07271,121.6071455,25.07271
BR,文湖線,內湖線,BR,22,BR22,東湖,,114056臺北市內湖區康寧路3段235號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.611535&Latitude=25.067455,121.611535,25.067455
BR,文湖線,內湖線,BR,23,BR23,南港軟體園區,,115018臺北市南港區經貿二路183號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.615&Latitude=25.05992,121.615,25.05992
BR,文湖線,內湖線,BLBR,24,BR24,南港展覽館,,115018臺北市南港區南港路1段32號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.616861&Latitude=25.054919,121.616861,25.054919
R,淡水信義線,信義線,R,02,R02,象山,,110022臺北市信義區信義路5段152號B1,https://web.metro.taipei/c/googlemap.asp?Longitude=121.570116&Latitude=25.032395,121.570116,25.032395
R,淡水信義線,信義線,R,03,R03,台北101/世貿,,110013臺北市信義區信義路5段20號B1,https://web.metro.taipei/c/googlemap.asp?Longitude=121.563667&Latitude=25.032865,121.563667,25.032865
R,淡水信義線,信義線,R,04,R04,信義安和,,106049臺北市大安區信義路4段212之1號B1,https://web.metro.taipei/c/googlemap.asp?Longitude=121.552326&Latitude=25.033015,121.552326,25.033015
R,淡水信義線,信義線,RBR,05,R05,大安,,106028臺北市大安區信義路3段180號B1,https://web.metro.taipei/c/googlemap.asp?Longitude=121.54237&Latitude=25.033311,121.54237,25.033311
R,淡水信義線,信義線,R,06,R06,大安森林公園,,106008臺北市大安區信義路3段100號B1,https://web.metro.taipei/c/googlemap.asp?Longitude=121.536151&Latitude=25.033225,121.536151,25.033225
R,淡水信義線,信義線,RO,07,R07,東門,,106007臺北市大安區信義路2段166號B1,https://web.metro.taipei/c/googlemap.asp?Longitude=121.528766&Latitude=25.033894,121.528766,25.033894
R,淡水信義線,信義線,GR,08,R08,中正紀念堂,南門,100207臺北市中正區羅斯福路1段8之1號B1,https://web.metro.taipei/c/googlemap.asp?Longitude=121.518273&Latitude=25.032767,121.518273,25.032767
R,淡水信義線,淡水線,R,09,R09,台大醫院,,100006臺北市中正區公園路52號B1,https://web.metro.taipei/c/googlemap.asp?Longitude=121.51602&Latitude=25.041399,121.51602,25.041399
R,淡水信義線,淡水線,BLR,10,R10,台北車站,,100009臺北市中正區忠孝西路1段49號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.517415&Latitude=25.04631,121.517415,25.04631
R,淡水信義線,淡水線,GR,11,R11,中山,,103014臺北市大同區南京西路16號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.520364&Latitude=25.052621,121.520364,25.052621
R,淡水信義線,淡水線,R,12,R12,雙連,馬偕醫院,103018臺北市大同區民生西路47號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.520685&Latitude=25.057575,121.520685,25.057575
R,淡水信義線,淡水線,OR,13,R13,民權西路,,103045臺北市大同區民權西路72號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.519585&Latitude=25.06235,121.519585,25.06235
R,淡水信義線,淡水線,R,14,R14,圓山,,103032臺北市大同區酒泉街9之1號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.520074&Latitude=25.0714085,121.520074,25.0714085
R,淡水信義線,淡水線,R,15,R15,劍潭,北藝中心,111011臺北市士林區中山北路5段65號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.5249545&Latitude=25.0842015,121.5249545,25.0842015
R,淡水信義線,淡水線,R,16,R16,士林,,111012臺北市士林區福德路1號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.52623&Latitude=25.0934925,121.52623,25.0934925
R,淡水信義線,淡水線,R,17,R17,芝山,,111031臺北市士林區福國路70號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.522546&Latitude=25.102718,121.522546,25.102718
R,淡水信義線,淡水線,R,18,R18,明德,,112038臺北市北投區明德路95號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.518785&Latitude=25.109815,121.518785,25.109815
R,淡水信義線,淡水線,R,19,R19,石牌,榮總,112052臺北市北投區石牌路1段200號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.515572&Latitude=25.114455,121.515572,25.114455
R,淡水信義線,淡水線,R,20,R20,唭哩岸,陽明交通大學,112025臺北市北投區東華街2段301號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.506234&Latitude=25.1208515,121.506234,25.1208515
R,淡水信義線,淡水線,R,21,R21,奇岩,,112057臺北市北投區三合街2段489號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.50114&Latitude=25.1254705,121.50114,25.1254705
R,淡水信義線,淡水線,R,22,R22,北投,,112006臺北市北投區光明路1號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.4986475&Latitude=25.1318185,121.4986475,25.1318185
R,淡水信義線,新北投支線,RA,22A,R22A,新北投,,112028臺北市北投區大業路700號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.5025955&Latitude=25.1369315,121.5025955,25.1369315
R,淡水信義線,淡水線,R,23,R23,復興崗,,112054臺北市北投區中央北路3段53巷10號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.485456&Latitude=25.137497,121.485456,25.137497
R,淡水信義線,淡水線,R,24,R24,忠義,,112017臺北市北投區中央北路4段301號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.4732975&Latitude=25.1309225,121.4732975,25.1309225
R,淡水信義線,淡水線,R,25,R25,關渡,,112021臺北市北投區大度路3段296巷51號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.467&Latitude=25.12551,121.467,25.12551
R,淡水信義線,淡水線,R,26,R26,竹圍,,251033新北市淡水區民權路50號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.45955&Latitude=25.1369,121.45955,25.1369
R,淡水信義線,淡水線,R,27,R27,紅樹林,,251033新北市淡水區中正東路2段68號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.4588&Latitude=25.15399,121.4588,25.15399
R,淡水信義線,淡水線,R,28,R28,淡水,,251018新北市淡水區中正路1號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.445805&Latitude=25.167745,121.445805,25.167745
G,松山新店線,新店線,G,01,G01,新店,碧潭,231039新北市新店區北宜路1段2號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.53746&Latitude=24.95761,121.53746,24.95761
